a	ā,ə, yek
contract	, peyman
contraction	kənˈtrakSHən, êşa zayinê
contractions	noun, êşa zayinê
contracts	noun, peyman
contradict	ˌkäntrəˈdikt, naqokîn
contradicted	verb, naqokîn
contradicting	verb, naqokîn
contradiction	ˌkäntrəˈdikSHən, naqok
contradictions	ˌkäntrəˈdikSHən, naqok
contradicts	verb, naqokîn
contraries	, dij
contrary	, dij
contrast	, dijîtî
contrasts	, dijîtî
contribute	-byət,kənˈtribyo͞ot, paraxwe dayin
contributed	verb, paraxwe dayin
contributes	-byət,kənˈtribyo͞ot, paraxwe dayin
contributing	verb, paraxwe dayin
contribution	ˌkäntrəˈbyo͞oSHən, beş
contributions	noun, beş
control	kənˈtrōl, berçavkirin
controlled	verb, berçavkirin
controlling	verb, berçavkirin
controls	verb, berçavkirin
controversies	ˈkäntrəˌvərsē, pirsa mûnaqaşê
controversy	ˈkäntrəˌvərsē, pirsa mûnaqaşê
convalescence	ˌkänvəˈlesəns, rawestanî
convene	kənˈvēn, civandin
convened	verb, civandin
convenes	kənˈvēn, civandin
convenience	kənˈvēnyəns, xweşî
conveniences	noun, xweşî
convenient	kənˈvēnyənt, erzan
convening	verb, civandin
convention	kənˈvenCHən, adet
conventions	noun, adet
conversation	ˌkänvərˈsāSHən, kêfî
conversations	noun, kêfî
conversion	kənˈvərZHən, gûhertinî
conversions	noun, gûhertinî
convert	, gûhertin
converted	verb, gûhertin
converting	verb, gûhertin
converts	, gûhertin
convey	kənˈvā, barkirin
conveyed	verb, barkirin
conveying	verb, barkirin
conveys	kənˈvā, barkirin
convict	, mehkûmkirin
convicted	verb, mehkûmkirin
convicting	verb, mehkûmkirin
conviction	kənˈvikSHən, mehkûmkirinî
convictions	noun, mehkûmkirinî
convicts	verb, mehkûmkirin
convince	kənˈvins, qanihkirin
convinced	kənˈvinst, qanihkirin
convinces	kənˈvins, qanihkirin
convincing	kənˈvinsiNG, qanihkir
convulsion	kənˈvəlSHən, milavêtin
convulsions	noun, milavêtin
cook	ko͝ok, aşkelandin
cooked	verb, aşkelandin
cooks	verb, aşkelandin
cool	ko͞ol, hênikkirin
cooled	verb, hênikkirin
cooler	ˈko͞olər, hênik
coolest	adjective, hênik
cooling	verb, hênikkirin
cools	ko͞ol, hênikkirin
co operate	verb, hevkarkirîn
co-operate	verb, hevkarkirîn
cooperate	kōˈäpəˌrāt, hevkarkirîn
cooperated	verb, hevkarkirîn
cooperates	verb, hevkarkirîn
co operation	noun, hevkarî
co-operation	noun, hevkarî
cooperation	kōˌäpəˈrāSHən, hevkarî
co operative	kōˈäp(ə)rətiv, amadeyê alîkarî
co-operative	adjective, amadeyê alîkarî
cooperative	kōˈäp(ə)rətiv, amadeyê alîkarî
coordinate	, liberhevxistin
coordinated	verb, liberhevxistin
coordinates	verb, liberhevxistin
coordinating	verb, liberhevxistin
coordination	kōˌôrdnˈāSHən, liberhevxistini
coordinations	noun, liberhevxistini
copied	verb, kopikirin
copies	verb, kopikirin
copper	ˈkäpər, sifir
coppers	noun, sifir
copy	ˈkäpē, kopikirin
copying	verb, kopikirin
coral	ˈkär-,ˈkôrəl, darê kevirî nav avê
cord	kôrd, ben
cords	noun, ben
core	kôr, navik
cores	kôr, navik
cork	kôrk, depik
corks	kôrk, depik
cork screw	noun, depikkêş
cork-screw	noun, depikkêş
corkscrew	ˈkôrkˌskro͞o, depikkêş
corkscrews	noun, depikkêş
corn	kôrn, garis
corner	ˈkôrnər, qozî
corners	noun, qozî
corns	kôrn, garis
coronation	ˌkär-,ˌkôrəˈnāSHən, tackirinî
coronations	noun, tackirinî
corporal	ˈkôrp(ə)rəl, serdestê leşkerî
corporals	noun, serdestê leşkerî
corporation	ˌkôrpəˈrāSHən, dayre
corporations	noun, dayre
corpse	kôrps, laş
corpses	kôrps, laş
correct	kəˈrekt, serrast
correction	kəˈrekSHən, serrastkirî
corrections	noun, serrastkirî
correspond	ˌkär-,ˌkôrəˈspänd, bicihanîn
corresponded	ˌkär-,ˌkôrəˈspänd, bicihanîn
correspondence	ˌkär-,ˌkôrəˈspändəns, lihevhatinî
correspondences	ˌkär-,ˌkôrəˈspändəns, lihevhatinî
correspondent	ˌkär-,ˌkôrəˈspändənt, nûçevan
correspondents	ˌkär-,ˌkôrəˈspändənt, nûçevan
corresponding	ˌkär-,ˌkôrəˈspändiNG, gorî
corresponds	verb, bicihanîn
corridor	-ˌdôr,ˈkär-,ˈkôrədər, berpê
corridors	noun, berpê
corrupt	kəˈrəpt, bertîlgir
corruption	kəˈrəpSHən, bertîlgirî
corruptions	kəˈrəpSHən, bertîlgirî
cost	kôst, nirxîn
costing	verb, nirxîn
costlier	ˈkôstlē, biha
costliest	ˈkôstlē, biha
costly	ˈkôstlē, biha
costs	verb, nirxîn
costume	, lebas
costumes	noun, lebas
cottage	ˈkätij, kozik
cottages	noun, kozik
cotton	ˈkätn, pembo
cottons	noun, pembo
cough	kôf, kûxik
coughed	kôf, kûxîn
coughing	verb, kûxîn
coughs	kôf, kûxik
council	ˈkounsəl, pêşnîyar
councils	noun, pêşnîyar
counsel	ˈkounsəl, pêşnîyardanî
counsellor	ˈkouns(ə)lər, pêşnîyarvan
counsellors	ˈkouns(ə)lər, pêşnîyarvan
counselor	ˈkouns(ə)lər, pêşnîyarvan
counselors	ˈkouns(ə)lər, pêşnîyarvan
counsels	noun, pêşnîyardanî
count	kount, jimartin
counted	verb, jimartin
counter	ˈkountər, masa dûkanan
counter-	, masa dûkanan
counterfeit	ˈkountərˌfit, qelpkirin
counterfeited	verb, qelpkirin
counterfeiting	verb, qelpkirin
counterfeits	verb, qelpkirin
counters	noun, masa dûkanan
counting	ˈkountiNG, jimartin
countless	ˈkountləs, bêjimar
countries	noun, niştiman
country	ˈkəntrē, niştiman
counts	verb, jimartin
coup	ko͞o, kûpa
couple	ˈkəpəl, jinûmêr
couples	noun, jinûmêr
coups	ko͞o, kûpa
courage	ˈkə-rij,ˈkərij, cesaret
courageous	kəˈrājəs, cesûr
course	kôrs, kûrs
courses	noun, kûrs
court	kôrt, dadgeh
courtesies	ˈkərtəsē, dilnizmî
courtesy	ˈkərtəsē, dilnizmî
courthouse	ˈkôrtˌhous, dadxane
courthouses	noun, dadxane
courtroom	-ˌro͝om,ˈkôrtˌro͞om, jûra dadgehê
courtrooms	noun, jûra dadgehê
courts	noun, dadgeh
courtyard	ˈkôrtˌyärd, hewş
courtyards	noun, hewş
cousin	ˈkəzən, kûrxalti
cousins	noun, kûrxalti
cover	ˈkəvər, sergirtin
covered	verb, sergirtin
covering	ˈkəv(ə)riNG, sergirtin
covers	verb, sergirtin
cow	kou, çêlek
coward	ˈkou-ərd, tirsonek
cowards	noun, tirsonek
coyote	kīˈōtē,ˈkīˌōt, sehê bejî
coyotes	noun, sehê bejî
crab	krab, kevcal
crabs	noun, kevcal
crack	krak, çîr
cracks	noun, çîr
cradle	ˈkrādl, dergûş
cradles	ˈkrādl, dergûş
craftier	ˈkraftē, rûvî
craftiest	ˈkraftē, rûvî
craftsman	ˈkraf(t)smən, destemel
craftsmen	noun, destemel
crafty	ˈkraftē, rûvî
cramp	kramp, tîrêş
cramps	noun, tîrêş
crane	krān, girank
cranes	noun, girank
crash	kraSH, qeza
crashes	noun, qeza
crater	ˈkrātər, korta çîya agirî
craters	ˈkrātər, korta çîya agirî
crave	krāv, tikakirin
craved	krāv, tikakirin
craves	krāv, tikakirin
craving	ˈkrāviNG, tikakirin
crawl	krôl, xwebierdêkêşan
crawled	verb, xwebierdêkêşan
crawling	verb, xwebierdêkêşan
crawls	krôl, xwebierdêkêşan
crazier	ˈkrāzē, dîn
craziest	ˈkrāzē, dîn
crazy	ˈkrāzē, dîn
cream	krēm, qeymax
creams	krēm, qeymax
create	krēˈāt, xûliqandin
created	verb, xûliqandin
creates	verb, xûliqandin
creating	verb, xûliqandin
creation	krēˈāSHən, xuliqî
creations	noun, xuliqî
creative	krēˈātiv, avahî
creature	ˈkrēCHər, ava
creatures	noun, ava
credentials	noun, şehadan
credibilities	ˌkredəˈbilitē, bawerîpêhatinî
credibility	ˌkredəˈbilitē, bawerîpêhatinî
credit	ˈkredit, krêdî
credits	noun, krêdî
cremate	kriˈmāt,ˈkrēˌmāt, xwelîkirin
cremated	kriˈmāt,ˈkrēˌmāt, xwelîkirin
cremates	kriˈmāt,ˈkrēˌmāt, xwelîkirin
cremating	kriˈmāt,ˈkrēˌmāt, xwelîkirin
cremation	noun, arîkirinî
cremations	noun, arîkirinî
crescent	ˈkresənt, nîvhêv
crescents	noun, nîvhêv
crew	kro͞o, birîvebir
crews	kro͞o, birîvebir
crib	krib, malnerra zarokan
cribs	krib, malnerra zarokan
cricket	ˈkrikit, tifik
crickets	ˈkrikit, tifik
cried	verb, girîn
cries	noun, qîrr
crime	krīm, nebaşî
crimes	noun, nebaşî
criminal	ˈkrimənl, emelxirab
criminals	noun, emelxirab
cripple	ˈkripəl, seqet
cripples	ˈkripəl, seqet
crises	ˈkrīsis, nerehetî
crisis	ˈkrīsis, nerehetî
critical	ˈkritikəl, rexneyan
criticise	ˈkritəˌsīz, rexnekirin
criticises	ˈkritəˌsīz, rexnekirin
criticising	verb, rexnekirin
criticism	ˈkritəˌsizəm, rexne
criticisms	noun, rexne
criticize	ˈkritəˌsīz, rexnekirin
criticized	verb, rexnekirin
criticizes	ˈkritəˌsīz, rexnekirin
criticizing	verb, rexnekirin
crocodile	ˈkräkəˌdīl, tîmseh
crocodiles	noun, tîmseh
crooked	ˈkro͝okəd, xwar
crop	kräp, zadçinî
crops	noun, zadçinî
cross	krôs, xaç
crosses	noun, xaç
crossing	ˈkrôsiNG, derbasbûnî
crossings	ˈkrôsiNG, derbasbûnî
crouch	krouCH, xifilandin
crouched	verb, xifilandin
crouches	verb, xifilandin
crouching	verb, xifilandin
crow	krō, zax
crowd	kroud, çende
crowded	ˈkroudid, astengket
crowds	noun, çende
crown	kroun, tac
crowns	noun, tac
Crows	noun, zax
crows	noun, zax
cruel	ˈkro͞oəl, hovane
crueler	ˈkro͞oəl, hovane
cruelest	ˈkro͞oəl, hovane
cruise	kro͞oz, xaçkirin
cruised	kro͞oz, xaçkirin
cruiser	ˈkro͞ozər, gemîya şerr
cruisers	ˈkro͞ozər, gemîya şerr
cruises	kro͞oz, xaçkirin
cruising	verb, xaçkirin
crumb	krəm, gevzek
crusade	kro͞oˈsād, meşa xaçî
crusades	noun, meşa xaçî
crust	krəst, qalikç qaşik
crusts	noun, qalikç qaşik
crutch	krəCH, gopal
crutches	noun, gopal
cry	krī, qîrr
crying	ˈkrī-iNG, girîn
crystal	ˈkristl, krîstal
crystals	noun, krîstal
cucumber	ˈkyo͞oˌkəmbər, xiyar
cucumbers	noun, xiyar
culprit	ˈkəlprət,ˈkəlˌprit, sûcî
culprits	ˈkəlprət,ˈkəlˌprit, sûcî
cult	kəlt, perwerdetî
cultivate	ˈkəltəˌvāt, çandin
cultivated	ˈkəltəˌvātid, çandin
cultivates	ˈkəltəˌvāt, çandin
cultivating	verb, çandin
cults	kəlt, perwerdetî
cultural	ˈkəlCHərəl, çandeyî
culture	ˈkəlCHər, çande
cultures	noun, çande
cup	kəp, tas
cupboard	ˈkəbərd, dolab
cupboards	ˈkəbərd, dolab
cups	noun, tas
cure	kyo͝or, dermankirin
cured	verb, dermankirin
cures	kyo͝or, dermankirin
curing	verb, dermankirin
curiosities	ˌkyo͝orēˈäsitē, miraq
curiosity	ˌkyo͝orēˈäsitē, miraq
curious	ˈkyo͝orēəs, miraqker
currencies	noun, diravcins
currency	ˈkə-rənsē,ˈkərənsē, diravcins
current	ˈkə-rənt,ˈkərənt, herk
currently	ˈkə-rəntlē,ˈkərəntlē, evdem
currents	noun, herk
curse	kərs, nifirkirin
curses	verb, nifirkirin
cursing	verb, nifirkirin
curtain	ˈkərtn, perde
curtains	noun, perde
curve	kərv, çûvelan
curves	noun, çûvelan
cushion	ˈko͝oSHən, tûr
cushions	noun, tûr
custody	ˈkəstədē, lênerînî
custom	ˈkəstəm, hûnbunî
customary	ˈkəstəˌmerē, hînbû
customer	ˈkəstəmər, miştirî
customs	ˈkəstəmz, bac
cut	kət, ber
cuts	noun, ber
cutting	ˈkətiNG, birrîn
cycle	ˈsīkəl, zîvirok
cycles	noun, zîvirok
cylinder	ˈsiləndər, gûndir
cylinders	noun, gûndir
cyst	sist, peqava nav zik
cysts	noun, peqava nav zik
dad	dad, bav
dads	dad, bav
dagger	ˈdagər, xençer
daggers	ˈdagər, xençer
daily	ˈdālē, rojane
dairies	ˈde(ə)rē, şîrxane
dairy	ˈde(ə)rē, şîrxane
dam	dam, bend
damage	ˈdamij, zirar
damages	noun, zirar
damp	damp, şil
damper	ˈdampər, şil
dampest	damp, şil
dams	dam, bend
dance	dans, bazdan
danced	verb, bazdan
dancer	ˈdansər, bazdanvan
dancers	noun, bazdanvan
dances	dans, bazdan
dancing	verb, bazdan
danger	ˈdānjər, talûke
dangerous	ˈdānjərəs, talûkeyî
dangers	ˈdānjər, talûke
dark	därk, tarî
darken	ˈdärkən, tarîkirin
darkened	verb, tarîkirin
darkening	verb, tarîkirin
darkens	ˈdärkən, tarîkirin
darker	adjective, tarî
darkest	adjective, tarî
darkness	ˈdärknis, tarîtî
data	ˈdatə,ˈdātə, jimare
date	dāt, xûrme
dates	noun, xûrme
dative	ˈdātiv, pîbest
datives	ˈdātiv, pîbest
daughter	ˈdä-,ˈdôtər, keç
daughter in law	noun, bûk
daughter-in-law	, bûk
daughters	noun, keç
dawn	dän,dôn, tarîbûn
dawned	dän,dôn, tarîbûn
dawning	ˈdän-,ˈdôniNG, tarîbûn
dawns	dän,dôn, tarîbûn
day	dā, roj
dead	ded, mirî
deader	adjective, mirî
deadest	ded, mirî
deadlier	ˈdedlē, mirarî
deadliest	ˈdedlē, mirarî
deadly	ˈdedlē, mirarî
deaf	def, kerr
deafer	def, kerr
deafest	def, kerr
deal	dēl, bazirganî
dealings	noun, karûbarî
deals	noun, bazirganî
dean	dēn, pêşewayê zanko
deans	noun, pêşewayê zanko
death	deTH, mirin
deaths	noun, mirin
debate	diˈbāt, berhevdan
debated	verb, berhevdan
debates	diˈbāt, berhevdan
debating	verb, berhevdan
debris	dəˈbrē,ˌdā-, xirbe
debt	det, suc
debts	noun, suc
decade	ˈdekād, dehsal
decades	noun, dehsal
decay	diˈkā, xirbebûn
decayed	verb, xirbebûn
decaying	verb, xirbebûn
decays	diˈkā, xirbebûn
deceased	diˈsēst, mirî
deceit	diˈsēt, şaşkirinî
deceitful	diˈsētfəl, qelpezane
deceits	diˈsēt, şaşkirinî
deceive	diˈsēv, xapandin
deceived	verb, xapandin
deceives	diˈsēv, xapandin
deceiving	verb, xapandin
December	diˈsembər, çileya paşîn
decencies	noun, toreyî
decency	ˈdēsənsē, toreyî
decent	ˈdēsənt, tore
deception	diˈsepSHən, qelpezanî
deceptions	diˈsepSHən, qelpezanî
deceptive	diˈseptiv, ecêbker
decide	diˈsīd, biryardan
decided	diˈsīdid, biryardan
decides	verb, biryardan
deciding	diˈsīdiNG, biryardan
decision	diˈsiZHən, biryar
decisions	noun, biryar
deck	dek, banîya gemî
decks	dek, banîya gemî
declaration	ˌdekləˈrāSHən, beyan
declarations	ˌdekləˈrāSHən, beyan
declare	diˈkle(ə)r, beyankirin
declared	verb, beyankirin
declares	verb, beyankirin
declaring	verb, beyankirin
decline	diˈklīn, refzkirin
declined	verb, refzkirin
declines	verb, refzkirin
declining	verb, refzkirin
decode	diˈkōd, jiberhevxistin
decoded	verb, jiberhevxistin
decodes	diˈkōd, jiberhevxistin
decoding	verb, jiberhevxistin
decontaminate	ˌdēkənˈtaməˌnāt, jarjêgirtin
decontaminated	ˌdēkənˈtaməˌnāt, jarjêgirtin
decontaminates	ˌdēkənˈtaməˌnāt, jarjêgirtin
decontaminating	ˌdēkənˈtaməˌnāt, jarjêgirtin
decorate	ˈdekəˌrāt, xemilandin
decorated	verb, xemilandin
decorates	ˈdekəˌrāt, xemilandin
decorating	verb, xemilandin
decoration	ˌdekəˈrāSHən, xemil
decorations	noun, xemil
decrease	, kêmbûn
decreased	verb, kêmbûn
decreases	verb, kêmbûn
decreasing	verb, kêmbûn
dedicate	ˈdediˌkāt, şabaşkirin
dedicated	ˈdediˌkātid, şabaşkirin
dedicates	ˈdediˌkāt, şabaşkirin
dedicating	verb, şabaşkirin
dedication	ˌdediˈkāSHən, şabaşî
dedications	ˌdediˈkāSHən, şabaşî
deduct	diˈdəkt, jinavkişîn
deducted	verb, jinavkişîn
deducting	verb, jinavkişîn
deduction	diˈdəkSHən, jêderxistinî
deductions	noun, jêderxistinî
deducts	diˈdəkt, jinavkişîn
deed	dēd, wesîqe
deeds	noun, wesîqe
deep	dēp, kûr
deepest	adjective, kûr
deer	di(ə)r, ahû
deface	diˈfās, xirabkirin
defaced	verb, xirabkirin
defaces	diˈfās, xirabkirin
defacing	verb, xirabkirin
default	, jidestrevandin
defaulted	verb, jidestrevandin
defaulting	verb, jidestrevandin
defaults	, jidestrevandin
defeat	diˈfēt, serketin
defeating	verb, serketin
defeats	diˈfēt, serketin
defect	diˈfekt,ˈdēˌfekt, zirar
defective	diˈfektiv, şaşîyane
defects	noun, zirar
defence	diˈfens,ˈdēˌfens, parastinî
defences	noun, parastinî
defend	diˈfend, parastin
defendant	diˈfendənt, gilîdar
defendants	noun, gilîdar
defended	verb, parastin
defending	verb, parastin
defends	verb, parastin
defense	diˈfens,ˈdēˌfens, parastinî
defenses	noun, parastinî
defensive	diˈfensiv, xweparêz
defer	diˈfər, tarloqkirin
deference	ˈdefərəns, rûmet
deferred	verb, tarloqkirin
deferring	verb, tarloqkirin
defers	diˈfər, tarloqkirin
defiance	diˈfīəns, serhişkî
deficiencies	diˈfiSHənsē, xeta
deficiency	diˈfiSHənsē, xeta
deficit	ˈdefəsit, kêmî
deficits	noun, kêmî
define	diˈfīn, binavkirin
defined	verb, binavkirin
defines	diˈfīn, binavkirin
defining	verb, binavkirin
definite	ˈdefənit, berçav
definitely	ˈdefənitlē, bigûman
definition	ˌdefəˈniSHən, binavî
definitions	noun, binavî
deformed	diˈfôrmd, xiloxarî
defraud	diˈfrôd, xapandin
defrauded	verb, xapandin
defrauding	verb, xapandin
defrauds	diˈfrôd, xapandin
degrading	diˈgrādiNG, riswakir
degree	diˈgrē, derece
degrees	noun, derece
delay	diˈlā, derengxistin
delayed	verb, derengxistin
delaying	verb, derengxistin
delays	verb, derengxistin
delegate	, nûner
delegates	noun, nûner
delegation	ˌdeliˈgāSHən, komnûner
delegations	ˌdeliˈgāSHən, komnûner
deliberate	, qesdî
deliberately	diˈlibəritlē, qesd
delicate	ˈdelikit, delal
delicious	diˈliSHəs, tamxweş
delightful	diˈlītfəl, tahrşî
deliver	diˈlivər, şandin
delivered	verb, şandin
deliveries	noun, şandinî
delivering	verb, şandin
delivers	diˈlivər, şandin
delivery	diˈlivərē, şandinî
demand	diˈmand, xweste
demanded	verb, xwestin
demanding	diˈmandiNG, xwestebilind
demands	noun, xweste
democracies	diˈmäkrəsē, dimûqratî
democracy	diˈmäkrəsē, dimûqratî
democratic	ˌdeməˈkratik, dimûqratîk
demon	ˈdēmən, xerfît
demons	noun, xerfît
demonstrate	ˈdemənˌstrāt, xwepişandan
demonstrated	verb, xwepişandan
demonstrates	ˈdemənˌstrāt, xwepişandan
demonstrating	verb, xwepişandan
demonstration	ˌdemənˈstrāSHən, xwepişanî
demonstrations	ˌdemənˈstrāSHən, xwepişanî
demote	diˈmōt, pildaxistin
demoted	verb, pildaxistin
demotes	diˈmōt, pildaxistin
demoting	verb, pildaxistin
den	den, avahî
denial	diˈnīəl, înkarî
denials	diˈnīəl, înkarî
denied	verb, înkarkirin
denies	diˈnī, înkarkirin
denounce	diˈnouns, îxbarkirin
denounced	verb, îxbarkirin
denounces	verb, îxbarkirin
denouncing	diˈnouns, îxbarkirin
dens	noun, avahî
dense	dens, berhev
denser	dens, berhev
densest	dens, berhev
dent	dent, peq
dentist	ˈdentist, pizişkê didanan
dentists	noun, pizişkê didanan
dents	dent, peq
deny	diˈnī, înkarkirin
denying	verb, înkarkirin
depart	diˈpärt, birêketin
departed	diˈpärtid, birêketin
departing	verb, birêketin
department	diˈpärtmənt, liq
departs	diˈpärt, birêketin
departure	diˈpärCHər, rêketinî
departures	noun, rêketinî
depend	diˈpend, pêvgirêdan
dependable	diˈpendəbəl, bibawerdar
dependant	diˈpendənt, pêvgrêdane
depended	diˈpend, pêvgirêdan
dependence	diˈpendəns, pêvgrêdayî
dependent	diˈpendənt, pêvgrêdane
depending	verb, pêvgirêdan
depends	verb, pêvgirêdan
deploy	diˈploi, bikaranîn
deployed	verb, bikaranîn
deploying	diˈploi, bikaranîn
deploys	diˈploi, bikaranîn
deport	diˈpôrt, jicîkirin
deportation	ˌdēpôrˈtāSHən, jicîkirinî
deportations	ˌdēpôrˈtāSHən, jicîkirinî
deported	verb, jicîkirin
deporting	diˈpôrt, jicîkirin
deports	diˈpôrt, jicîkirin
deposit	diˈpäzit, diravdan
depositing	verb, diravdan
deposits	verb, diravdan
depot	ˈde-,ˈdēpō, depo
depots	noun, depo
depression	diˈpreSHən, hişleqî
depressions	noun, hişleqî
deprive	diˈprīv, jêgirtin
deprived	diˈprīvd, jêgirtin
deprives	diˈprīv, jêgirtin
depriving	verb, jêgirtin
depth	depTH, kûrî
depths	noun, kûrî
descendant	diˈsendənt, nebî
descendants	noun, nebî
describe	diˈskrīb, terîfkirin
described	verb, terîfkirin
describes	verb, terîfkirin
describing	verb, terîfkirin
description	diˈskripSHən, terîf
descriptions	noun, terîf
desert	diˈzərt,dəˈzərt,ˈdezərt, terkandin
deserted	dəˈzərtid, terkandin
deserting	verb, terkandin
desertion	dəˈzərSHən, terkandin
desertions	dəˈzərSHən, terkandin
deserts	verb, terkandin
deserve	dəˈzərv, qezenckirin
deserved	dəˈzərvd, qezenckirin
deserves	verb, qezenckirin
deserving	dəˈzərviNG, qezenckirin
design	dəˈzīn, mînak
designate	, binavkirî
designated	verb, binavkirî
designates	, binavkirî
designating	verb, binavkirî
designed	verb, mînakkirin
designer	dəˈzīnər, şikilda
designers	noun, şikilda
designing	dəˈzīniNG, mînakkirin
designs	noun, mînak
desire	dəˈzī(ə)r, xwestin
desired	verb, xwestin
desires	verb, xwestin
desiring	verb, xwestin
desk	desk, meza nivîsê
desks	noun, meza nivîsê
desolate	, wêrankirî
despair	diˈspe(ə)r, bêçareman
despaired	verb, bêçareman
despairing	diˈspe(ə)riNG, bêçareman
despairs	diˈspe(ə)r, bêçareman
desperate	ˈdespərit, neçare
despise	diˈspīz, çepelkirin
despised	verb, çepelkirin
despises	diˈspīz, çepelkirin
despising	verb, çepelkirin
despite	diˈspīt, herçi
dessert	diˈzərt, paşîv
desserts	noun, paşîv
destination	ˌdestəˈnāSHən, armanca seyahatê
destinations	noun, armanca seyahatê
destinies	noun, qeder
destiny	ˈdestinē, qeder
destitute	ˈdestiˌt(y)o͞ot, feqîr
destroy	diˈstroi, wêrankirin
destroyer	diˈstroiər, wêrankar
destroyers	diˈstroiər, wêrankar
destroying	verb, wêrankirin
destroys	verb, wêrankirin
destruction	diˈstrəkSHən, wêrankirin
destructions	diˈstrəkSHən, wêrankirin
detach	diˈtaCH, vekirin
detachable	adjective, vedibe
detached	diˈtaCHt, vekirin
detaches	verb, vekirin
detaching	verb, vekirin
detail	diˈtāl,ˈdētāl, hûrî
detain	diˈtān, şûndegirtin
detained	verb, şûndegirtin
detaining	verb, şûndegirtin
detains	diˈtān, şûndegirtin
detect	diˈtekt, kişfkirin
detected	verb, kişfkirin
detecting	verb, kişfkirin
detection	diˈtekSHən, servekirin
detections	diˈtekSHən, servekirin
detective	diˈtektiv, dîdektîv
detectives	noun, dîdektîv
detects	verb, kişfkirin
detention	diˈtenCHən, girtî
deter	diˈtər, nehiştin
detergent	diˈtərjənt, dermanê paqijî
detergents	noun, dermanê paqijî
determination	diˌtərməˈnāSHən, tespîtkirinî
determinations	diˌtərməˈnāSHən, tespîtkirinî
determine	diˈtərmin, binavkirin
determined	diˈtərmind, jidil
determines	verb, binavkirin
determining	verb, binavkirin
deterred	verb, nehiştin
deterring	verb, nehiştin
deters	diˈtər, nehiştin
detonate	ˈdetnˌāt, teqîn
detonated	ˈdetnˌāt, teqîn
detonates	ˈdetnˌāt, teqîn
detonating	verb, teqîn
detour	ˈdēˌto͝or, rêgerrok
detours	ˈdēˌto͝or, rêgerrok
devaluation	noun, qîmetxistinî
devaluations	noun, qîmetxistinî
devalue	dēˈvalyo͞o, qîmetxistin
devalued	verb, qîmetxistin
devalues	dēˈvalyo͞o, qîmetxistin
devaluing	verb, qîmetxistin
devastate	ˈdevəˌstāt, xopankirin
devastated	verb, xopankirin
devastates	ˈdevəˌstāt, xopankirin
devastating	ˈdevəˌstātiNG, xopankirin
develop	diˈveləp, pêşvebirin
developed	diˈveləpt, pêşvebirin
developing	verb, pêşvebirin
development	diˈveləpmənt, pêşveçûnî
developments	diˈveləpmənt, pêşveçûnî
develops	verb, pêşvebirin
deviate	, jêveqetîn
deviated	verb, jêveqetîn
deviates	verb, jêveqetîn
deviating	verb, jêveqetîn
deviation	ˌdēvēˈāSHən, ferq
deviations	ˌdēvēˈāSHən, ferq
device	diˈvīs, sazî
devil	ˈdevəl, şeytan
devise	diˈvīz, fikirkirin
devised	verb, fikirkirin
devises	diˈvīz, fikirkirin
devising	verb, fikirkirin
devote	diˈvōt, şabaşkirin
devoted	diˈvōtid, şabaşkirin
devotes	diˈvōt, şabaşkirin
devoting	verb, şabaşkirin
devotion	diˈvōSHən, heyranî
devotions	noun, heyranî
dew	d(y)o͞o, nim
dews	noun, nim
diabetes	-tis,ˌdīəˈbētēz, nexweşîya şekir
diabetic	ˌdīəˈbetik, şekirkêmane
diagnose	ˌdīəgˈnōs, teşhîskirin
diagnosed	verb, teşhîskirin
diagnoses	ˌdīəgˈnōsis, teşhîs
diagnosing	verb, teşhîskirin
diagnosis	ˌdīəgˈnōsis, teşhîs
diagram	ˈdīəˌgram, dîyagram
diagrams	ˈdīəˌgram, dîyagram
dial	ˈdī(ə)l, helbijartin
dialect	ˈdīəˌlekt, şîwa
dialects	ˈdīəˌlekt, şîwa
dialed	verb, helbijartin
dialing	verb, helbijartin
dials	ˈdī(ə)l, helbijartin
diameter	dīˈamitər, çap
diameters	dīˈamitər, çap
diamond	ˈdī(ə)mənd, cewher
diaper	ˈdī(ə)pər, potikê zarokan
diapers	noun, potikê zarokan
diaries	noun, rojpirtûk
diarrhea	ˌdīəˈrēə, navçûyin
diarrheas	ˌdīəˈrēə, navçûyin
diarrhoea	ˌdīəˈrēə, navçûyin
diary	ˈdīərē, rojpirtûk
dice	dīs, kabik
dices	dīs, kabik
dictate	ˈdikˌtāt, çapkirin
dictated	verb, çapkirin
dictates	verb, çapkirin
dictating	verb, çapkirin
dictation	dikˈtāSHən, çap
dictations	dikˈtāSHən, çap
dictator	ˈdikˌtātər, dîktator
dictators	ˈdikˌtātər, dîktator
dictatorship	dikˈtātərˌSHip,ˈdiktātər-, dîktatorî
dictatorships	dikˈtātərˌSHip,ˈdiktātər-, dîktatorî
dictionaries	ˈdikSHəˌnerē, ferheng
dictionary	ˈdikSHəˌnerē, ferheng
DID	verb, kirin
did	verb, kirin
die	dī, mirin
died	verb, mirin
dies	verb, mirin
diet	ˈdī-it, parêz
diets	ˈdī-it, parêz
difference	ˈdif(ə)rəns, ferq
differences	noun, ferq
different	ˈdif(ə)rənt, wekîdin
difficult	ˈdifikəlt, asteng
difficulties	noun, astengî
difficulty	ˈdifikəltē, astengî
dig	dig, kort
digest	, hezmkirin
digested	verb, hezmkirin
digesting	verb, hezmkirin
digestion	diˈjesCHən,dī-, hezm
