a	ئا
nigranî	نگرانی‌
nigrîs	نگریس‌
nigr̂e	نگڕه
nigîn	نگین‌
nihanî	نهانی
nihat	نهات‌
nihat girtê	نهات‌ گرتێ
nijyaw	نژیاو
nijî	نژی
nijüĺane	نژؤڵانه‌
nik	نك‌
nika	نكا
nikanin	نكانن‌
nikar	نكار
nikar kirdin	نكار كردن‌
nikbet	نكبه‌ت‌
nike	نكه‌
nike nik	نكه‌نك‌
nikeĺmes	نكه‌ڵمه‌س‌
nikin	نكن‌
niki nak	نكْ ناك
niki namey	نكْنامه‌ی
niki naĺ	نكْناڵ
niki nuwar	نكْنووار
niki nû	نكْنوو
nik û namey	نك‌ و نامه‌ی
nik û naĺ	نك ‌و ناڵ
nim	نم‌
nima	نما
nimaz	نماز
nim dan	نمدان‌
nim dar	نمدار
nimek	نمه‌ك‌
nimek kirdin	نمه‌ك ‌كردن‌
nime wişke	نمه‌وشكه‌
nimi naz	نمْناز
nimirç	نمرچ‌
nimiĺç	نمڵچ‌
nim nim	نم‌نم‌
nimre	نمره‌
nimyan	نمیان‌
nim za	نمزا
nimê	نمێ
nimêr	نمێر‌
nimêse	نمێسه‌
nimî	نمی
nimîn	نمین‌
nimür	نمؤر
nimürgaw	نمؤرگاو
nimürge	نمؤرگه‌
nimürge dan	نمؤرگه‌دان‌
ninamet	ننامه‌ت‌
nipi nuwar	نپْ نووار
niq	نق‌
niqanin	نقانن‌
niqa niq	نقانق‌
niqar̂e	نقاڕه‌
niqar̂e kwit	نقاڕه‌كوت‌
niqaw	نقاو
niqaê niq	نقاێ نق‌
niqa û niq	نقاونق‌
niq bir̂în	نق‌ بڕین‌
niqe	نرقه‌
niqe	نقه‌
niqe cir̂î	نقه‌جڕی
niqet	نقه‌ت‌
niqet gir	نقه‌ت‌گر
niqet girtin	نقه‌ت‌ گرتن‌
niqetî	نقه‌تی
niqi cir̂	نقْجڕ
niqin	نقن‌
niqm	نقم‌
niq niqî	نق ‌نقی
niqre	نقره‌
niqrey	نقره‌ی
niqte	نقته‌
niqîze	نقیزه‌
niqîze dan	نقیزه ‌دان‌
niq û cir̂	نق ‌وجڕ
niqür̂	نقؤڕ
niqür̂e	نقؤڕه‌
niqĺ	نقڵ
niqĺane	نقڵانه‌
niqĺane dan	نقڵانه‌دان‌
niqĺ çukuĺî	نقڵ چو‌كو‌ڵی
nirk	نرك‌
nirkanin	نركانن‌
nirke	نركه‌
nirki nû	نركْ نوو
nirk û nû	نرك ‌ونوو
nirx	نرخ‌
nirx bir̂în	نرخ ‌بڕین‌
nirx nan	نرخ ‌نان‌
nirya	نریا
niryan	نریان‌
niryane	نریانه‌
niryas	نریاس‌
nirya sa	نریاسا
nirya sew	نریاسه‌و
nisar	نسار
niseyrî	نسه‌یری
nisirm	نسرم‌
nisirmî	نسرمی
nisir per̂î	نسرپه‌ڕی
niskî	نسكی
nism	نسم‌
nisme û natemam	نسمه ‌و ناته‌مام‌
nismi şew	نسمْ شه‌و
nism kirdin	نسم ‌كردن‌
nismî	نسمی‌
nisr	نسر
nisret	نسرەت
nisret awa	نسرەت ‌ئاوا‌
nisî	نسی
nisü	نسؤ
nixan	نخان‌
nixaw	نخاو
nixaĺe	نخاڵه‌‌
nix dar	نرخدار
nixe	نخه‌
nixe kenîn	نخه ‌كه‌نین‌
nixe we kene	نخه‌ وه ‌كه‌نه‌
nixe şir̂	نخه‌شڕ
nixin	نخـْن‌
nixrûm	نخرووم‌
nixt	نخت‌
nixtaĺ	نختاڵ
nixte	نخته‌
nixwin	نخون‌
nixşe	نخشه‌
niz	نز
niza	نزا
nizamî	نزامی
nizar	نزار
nizarî	نزاری
nizarî birdê	نزاری بردێ
niz bir̂	نزبڕ
niz bir̂în	نز بڕین‌
nize	نزه‌
nizeyl	نزه‌یل‌
nizige	نزرگه‌
nizi pa bir̂în	نزْپا بڕین‌
nizi pa çinîn	نزْپا چنین‌
nizm	نزم‌
nizma bün	نزما بؤن‌
nizm bün	نزم‌ بؤن‌
nizmew bün	نزمه‌و بؤن‌
nizmew kirdin	نزمه‌و كردن‌
nizmî	نزمی
nizre	نزره‌
nizrê	نزرێ
niz çinîn	نزچنین‌
nizîk	نزیك‌
nizîkan	نزیكان‌
nizîk bün	نزیك‌ بؤن‌
nizîke	نزیكه‌
nizîkey	نزیكه‌ی
nizîkeyli	نزیكه‌یلْ
nizîk kirdin	نزیك‌ كردن‌
nizîkî	نزیكی‌
nizîre	نزیره‌
nizüle	نزؤله‌
niç	نچ‌
niçdar	نچدار
niçe	نچه‌
niçe niç	نچه‌نچ‌
niçin	نچـْن‌
niêya	نێا
niêyad	نێاد
niêyada	نێادا
niêyadan	نێادان‌
niêyag	نێاگ‌
niêya kirdin	نێاكردن‌
niêyam	نێام‌
niêyamey	نێامه‌ی
niêyan	نێان‌
niêyane	نێانه‌
niêyangir	نێانگر
niêyarey	نێاره‌ی
niêyarêa	نێارێا
niêyarêan	نێارێان‌
niêyarêana	نێارێانا
niêyarêanew	نێارێانه‌و
niêyarêyew	نێارێيه‌و
niêyate	نێاته‌
niêyate kar	نێاته‌كار
niêyate kirdin	نێاته ‌كردن‌
niêyayn	نێاین‌
niêyaz	نێاز
niêyazi pûs	نێازپووس‌
niêyerinan	نه‌یرنان‌
niêyerînan	نه‌یرینان‌
nişat	نشات‌
nişatan	نشاتان‌
nişge nişk	نشگه‌نشك‌
nişis	نشس‌
nişis kirdin	نشس‌ كردن‌
nişêw	نشێو
nişîn	نشین‌
nişîne	نشینه‌
nişîrey	نشیره‌ی
nişîrî	نشیری
nok	نۆ‌ك‌
noryaw	نۆ‌ریاو
nosme	نۆ‌سمه‌
nowe	نۆ‌وه‌
nowe ga	نۆ‌وه‌گا
nowen	نۆ‌وه‌ن‌
nudişe	نودشه‌
nujü	نوژؤ
nuqm	نوقم‌
nuqm bün	نوقم‌ بؤن‌
nuqm kirdin	نوقم‌ كردن‌
nuqĺ	نوقڵ
nur̂	نو‌ڕ
nuwa	نوُا
nuwa bir̂	نوُابڕ
nuwa bir̂ kirdin	نوُابڕ كردن‌
nuwa keĺ	نوُاكه‌ڵ
nuwa kîş	نوُاكیش‌
nuwa küye	نوُاكؤیه‌
nuwa r̂em	نوُاڕه‌م‌
nuwa suwar	نوُاسووار
nuwaĺe	نوُاڵه‌‌
nuwê	نووْێ
nuxan	نوخان‌
nuxe	نوخه‌
nuxe tepe	نوخه‌ته‌په‌
nuxs	نوخس‌
nuxs girtin	نوخس‌ گرتن‌
nuxum	نوخوم‌
nux́m	نوغم‌
nuşxe	نوشخه‌
nuşxe kirdin	نوشخه ‌كردن‌
nyag	نیاگ‌
nyam	نیام‌
nye	نیه‌
nyepûr̂ê	نیه‌پووڕێ
nyet	نیه‌ت‌
nyet hawrdin	نیه‌ت ‌هاوردن‌
nyet kirdin	نیه‌ت كردن‌
nyezam	نیه‌زام‌
nyezanim	نیه‌زانم‌
nyeĺe namey	نیه‌ڵه‌‌نامه‌ی
nêk	نێك‌
nêr	نێر
nêrane	نێرانه‌
nêrdûĺe	نێردووڵه‌‌
nêre	نێره‌
nêre jin	نێره‌ژن‌
nêre kew	نێره‌كه‌و
nêremûk	نێره‌مووك‌
nêre piya	نێره‌پیا
nêre xer	نێره‌خه‌ر
nêrexereyl	نێره‌خه‌ره‌یل‌
nêre za	نێره‌زا
nêrgele	نێرگه‌له‌
nêrhaĺ	نێرهاڵ
nêri ma	نێرْما
nêriş	نێرش‌
nêrven	نێرڤەن‌
nêr za	نێرزا
nêrî	نێری
nêrîne	نێرینه‌
nêrîney xwey ranîn	نێرینه‌ی خوه‌ی رانین‌
nêrûk maîûk	نێروُك ‌مایووك‌
nêr û ma	نێروما
nêw	نێو
nêwan	نێوان‌
nêwe	نێوه‌
nêweĺ	نێوه‌ڵ
nêwe şew	نێوه‌شه‌و
nêwiĺ	نێوڵ
nêûngir	نێوُنگر
nêş	نێش‌
nîd	نید
nîdin	نیدن‌
nîfek	نیفه‌ك‌
nîk	نیك‌
nîkanîk	نیكانیك‌
nîl	نیل‌
nîlaw	نیلاو
nîle	نیله‌
nîligaw	نیلگاو
nîlûper̂	نیلووپه‌ڕ
nîm	نیم‌
nîm birş	نیم ‌برش‌
nîme	نیمه‌
nîme gyan	نیمه‌ گیان‌
nîme gyan kirdin	نیمه‌گیان كردن‌
nîme kar	نیمه‌كار
nîme kare	نیمه‌كاره‌
nîme kwiĺ	نیمه‌كوڵ
nîme kwiĺin	نیمه‌كوڵن‌
nîme kwiĺ û nîme çiĺ	نیمه‌كوڵ ونیمه‌چڵ
nîme nimek	نیمه‌ نمه‌ك‌
nîmer̂i düya	نیمه‌ڕدؤیا
nîmer̂wû	نیمه‌ڕوو
nîme r̂ê	نیمه‌ڕێ
nîmer̂û düya	نیمه‌ڕوو دؤیا
nîmer̂ûje	نیمه‌ڕووژه‌
nîmer̂û sa	نیمه‌ڕووسا
nîmer̂û sakirdin	نیمه‌ڕووسا كردن‌
nîme temam	نیمه ‌ته‌مام‌
nîme zuwan	نیمه‌زووان‌
nîmeçiĺinĝ	نیمه‌چڵنگ‌
nîme û natemam	نیمه‌ و ناته‌مام‌
nîme şew	نیمه‌شه‌و
nîm gez	نیم‌ گه‌ز
nîmin	نیمن‌
nîm la	نیم‌لا
nîm let	نیم‌ له‌ت‌
nîm niga	نیم‌ نگا
nîm pez	نیم په‌ز
nîm puxt	نیم‌ پوخت‌
nîm r̂yen	نیم‌ ریه‌ن‌
nîm r̂ûj	نیمڕووژ
nîm sûz	نیمسووز
nîm tene	نیم‌ ته‌نه‌
nîm tiĺa	نیم ‌تڵا
nîm çe	نیم چه‌
nîn	نین‌
nîqeĺ	نیقه‌ڵ
nîqeĺtûz	نیقه‌ڵتووز
nîqin	نیقن‌
nîqû	نیقوو
nîr̂	نیڕ
nîr̂e	نیڕه‌
nîr̂e nîr̂	نیڕه‌نیڕ
nîsk	نیسك‌
nîskaw	نیسكاو
nîst	نیست‌
nîst û nabût	نیست‌ ونابووت‌
nît	نیت‌
nîx	نیخ‌
nîxan	نیخان‌
nîxanin	نیخانن‌
nîxe	نیخه‌
nîxe nîx	نیخه‌نیخ‌
nîçik	نیچـْك‌
nîş	نیش‌
nîşan	نیشان‌
nîşan dan	نیشاندان‌
nîşane	نیشانه‌
nîşan girtin	نیشان گرتن‌
nîşanin	نیشانن‌
nîşan kirdin	نیشان كردن‌
nîşan lê senin	نیشان‌ لێ سه‌نن‌
nîşanî	نیشانی
nîşay	نیشای
nîş dar	نیشدار
nîşt	نیشت‌
nîşta	نیشتا
nîşte aw	نیشته‌ئاو
nîşte ban	نیشته‌بان‌
nîşte bani yek	نیشته‌بانْ یه‌ك‌
nîşte cî	نیشته‌جی
nîşte diĺ	نیشته‌دڵ
nîşte gerd	نیشته ‌گه‌رد
nîşte jan	نیشته‌ژان‌
nîşte kar	نیشته‌كار
nîşte mil	نیشته‌مل‌
nîşte pa	نیشته‌پا
nîşte pawa	نیشته‌پاوا
nîşte qinĝew	نیشته ‌قنگه‌و
nîşter	نیشته‌ر
nîşte ser	نیشته‌سه‌ر
nîşte seri yek	نیشته‌سه‌ر یه‌ك‌
nîştew	نیشته‌و
nîşte xwar	نیشته‌خوار
nîştiganî	نیشتگانی
nîştim	نیشتم‌
nîştiman	نیشتمان‌
nîştiman perwer	نیشتمان ‌په‌روه‌ر
nîştin	نیشتن‌
nîştî	نیشتی
nû	نوُ
nû bün	نوُ بؤن‌
nûdêye	نوُدێيه‌
nû éêd	نوُ عێد
nû guwan	نوُ گووان‌
nû haĺ	نوُ هاڵ
nûhimîn	نوُهمین‌
nû keĺ	نوُكه‌ڵ
nû kîse	نوُ كیسه‌
nû kûĺa	نوُكووڵا
nûma	نوُما
nû maĺ	نوُماڵ
nûm birmû	نوُم ‌برموو
nûn birdin	نوُن ‌بردن
nûneseq	نوو نه‌سه‌ق‌
nû netezî	نوُ نه‌ته‌زی‌
nû pa	نوُپا
nû piĺan	نوُپڵان‌
nûr awa	نوُرئاوا
nûr̂	نوُڕ
nûr̂i niza	نوُڕ نزا
nûr̂is	نوُڕس‌
nûr̂isin	نوُڕسن‌
nûr̂ kirdin	نوُڕكردن‌
nûr̂în	نوُڕین‌
nû za	نوُزا
nûzdemî	نوُزده‌می
nûzdemîn	نوُزده‌مین‌
nû zîn	نوُزین‌
nû çaw	نوُچاو
nû çew	نوُچه‌و
nûĺ	نوُڵ
nûş	نوُش
nûşa	نوُشا
nûşi gyan	نوُشْگیان‌
nûşîn	نوُشین‌
nû şûr	نوُ شوور
nük	نؤك‌
nükanin	نؤكانن‌
nüke	نؤكه‌
nüke nük	نؤكه‌نؤك‌
nük ter̂ kirdin	نؤك ‌ته‌ڕ كردن‌
nün	نؤن‌
nüner	نؤنه‌ر‌
nünew ner	نؤنه‌و نه‌ر
nünĝ	نؤنگ‌
nünĝanin	نؤنگانن‌
nünĝe	نؤنگه‌
nünĝin	نؤنگن‌
nünĝi nanĝ	نؤنگْ‌ ناگ‌
nüq	نؤق‌
nüqanin	نؤقانن‌
nüqaê nüq	نؤقاێ نؤق‌
nüqin	نؤقن‌
nüqyan	نؤقیان‌
nür	نؤر
nürane	نؤرانه‌
nüranî	نؤرانی
nüraz	نؤراز
nüre	نؤره‌
nür per̂î	نؤرپه‌ڕی
nür̂	نؤڕ
nür̂i nar̂	نؤڕناڕ
nüs	نؤس‌
nüsa	نؤسا
nüsaiyn	نؤساین‌
nüsan	نؤسان‌
nüs bün	نؤس‌ بؤن‌
nüseke	نؤسه‌كه‌
nüsinek	نؤسنه‌ك‌
nüsirya	نؤسریا
nüsiryag	نؤسریاگ‌
nüsiryan	نؤسریان‌
nüsiryas	نؤسریاس‌
nüsiryaê	نؤسریاێ
nüsya	نؤسیا
nüsyad	نؤسیاد
nüsyag	نؤسیاگ‌
nüsyan	نؤسیان‌
nüsyas	نؤسیاس‌
nüsyaê	نؤسیاێ
nüsîn	نؤسین‌
nüte	نؤته‌
nütek	نؤته‌ك‌
nütigê	نؤتگێ
nüxan	نؤخان‌
nüxan gîr	نؤخانگیر
nüxanin	نؤخانن‌
nüxan wişk	نؤخان ‌وشك‌
nüz	نؤز
nüzanin	نؤزانن‌
nüze	نؤزه‌
nüze bir̂în	نؤزه‌ بڕین‌
nüze nüz	نؤزه‌ نؤز
nüzin	نؤزن‌
nüzi naz	نؤزناز
nüz û naz	نؤز وناز
nüç	نؤچ‌
nüçanin	نؤچانن‌
nüç bün	نؤچ‌ بؤن‌
nüçe	نؤچه‌
nüçe nüç	نؤچه‌نؤچ‌
nüçe nüç kirdin	نؤچه‌نؤچ‌ كردن‌
nüç kirdin	نؤچ‌ كردن‌
nüçyan	نؤچیان‌
nüşt	نؤشت‌
nüşt bün	نؤشت‌ بؤن‌
nüşt kirdin	نؤشت ‌كردن‌
omêd	ئۆمێد
oqûf	ئۆقووف
oqûf oqûf	ئۆقووف ئۆقووف
orsî	ئۆرسی
osa	ئۆسا
otor	ئۆتۆر
owĺ tancîn	ئۆڵ تانجین
oû tav	ئووتاڤ
oĺg	ئۆڵگ
oĺge	ئۆڵگه
oĺoĺe	ئۆڵۆڵه
qabe	قابه‌
qabiz	قابـْز
qabiĺ	قابڵ
qabiĺe	قابڵه‌‌
qaizĺax	قازڵاخ‌
qaj	قاژ
qaje	قاژه‌
qaje qaj	قاژه‌قاژ
qajmij pajmij	قاژمژ پاژمژ
qalyan	قالیان
qalî	قالی‌
qalîçe	قالیچه‌
qalîçe û r̂ün	قالیچه ‌وڕؤن‌
qalîş	قالیش‌
qalûre	قالووره‌
qamêş	قامێش‌
qamêşelan	قامێشه‌لان‌
qan	قان‌
qanê	قانێ
qanûn	قانوون‌
qanĝ	قانگ‌
qanĝdan	قانگدان‌
qanĝĺe	قانگڵه‌‌
qap	قاپ‌
qapan	قاپان‌
qapax	قاپاخ‌
qapaüj	قاپاؤژ
qapek	قاپه‌ك‌
qapgare	قاپگاره‌
qap girtin	قاپگرتن‌
qapi qeyz	قاپْ‌قه‌یز
qapi qwilaw baz	قاپْقولاو باز
qapi qwilaw bazî	قاپْقولاو بازی‌
qaple mîlkan eĺxisin	قاپ‌ له ‌میلكان‌ ئه‌ڵخسن
qap le şûn heĺxisin	قاپ ‌له ‌شوون ‌هه‌ڵخسن‌
qap qap	قاپ ‌قاپ‌
qap qewîn	قاپ‌ قەوین‌
qaput	قاپوت‌
qapyewan	قاپیه‌وان‌
qap çew	قاپ ‌چه‌و
qapçî	قاپچی
qapî	قاپی
qapîn	قاپین‌
qapî qewĺî	قاپی‌قوڵی‌
qaq	قاق‌
qaqa	قاقا
qaqez	قاقه‌ز
qaqez dan	قاقه‌زدان‌
qaqez nüs	قاقه‌ز نؤس‌
qaqez nüsan	قاقه‌ز نؤسان‌
qaqezî	قاقه‌زی‌
qaqezîn	قاقه‌زین‌
qaqina	قاقنا
qaqinas	قاقناس‌
qaqinat	قاقنات‌
qaqinek	قاقنه‌ك‌
qaqiĺan	قاقڵان‌
qaqiĺdan	قاقڵدان‌
qaquĺ	قاقول‌
qaqûĺe	قاقووڵه‌‌
qaqĺisan	قاقڵسان‌
qar	قار
qaran gwirexte	قاران‌گوره‌خته‌
qar bün	قار بؤن‌
qareman	قاره‌مان‌
qari qîn	قارْ قین‌
qar kirdin	قار كردن‌
qarloq	قارلۆ‌ق‌
qarxanî	قارخانی‌
qarç	قارچ‌
qar̂	قاڕ
qar̂am	قاڕام‌
qar̂an	قاڕان‌
qar̂anin	قاڕانن‌
qar̂a qar̂	قاڕاقاڕ
qar̂e	قاڕه‌
qar̂e qar̂	قاڕه‌قاڕه‌
qar̂ û qûr̂	قاڕ وقووڕ
qasim	قاسم‌
qasim awa	قاسم ‌ئاوا
qasimyeyl	قاسمییه‌ل
qaspe	قاسپه‌
qaspeqasp	قاسپه‌قاسپ‌
qasû	قاسوو
qat	قات‌
qate	قاته‌
qatelêwe	قاته‌لێوه‌
qatir	قاتر
qatir fize	قاتر فزه‌
qatir müşe	قاترمؤشه‌
qatir pûze	قاتر پووزه‌
qatir çî	قاترچی
qatirî	قاتری
qatiĺ	قاتڵ
qat qat	قات ‌قات‌
qatî	قاتی
qat û qir̂	قات ‌وقڕ
qaw	قاو
qawe	قاوه‌
qawecûş	قاوه‌جووش‌
qawetî	قاوه‌تی
qawexane	قاوه‌خانه‌
qawey	قاوه‌ی
qaweyî	قاوه‌یی
qawe çî	قاوه‌چی
qaweĺtî	قاوه‌ڵتی
qaweĺtî kirdin	قاوه‌ڵتی كردن‌
qawgwirmêç	قاو گورمێچ‌
qawgwiĺmêç	قاوگوڵمێچ‌
qawirme	قاورمه‌
qawleme	قاوله‌مه‌
qaw qawan	قاوقاوان‌
qawqwile	قاوقوله‌
qawît	قاویت‌
qawîç	قاویچ‌
qawîş	قاویش‌
qawüt	قاوؤت‌
qax	قاخ‌
qaxtat	قاختات‌
qax́inat	قاغنات‌
qayim	قایم‌
qayim bün	قایم ‌بؤن‌
qayime	قایمه‌
qayim kirdin	قایم كردن‌
qayim qayimekî	قایم ‌قایمه‌كی
qayimî	قایمی
qayir	قایر
qayirmez	قایرمەز
qayix	قایخ‌
qayş	قایش‌
qaz	قاز
qazan	قازان‌
qazançî	قازانچی
qazaşt	قازاشت‌
qazewa	قازه‌وا
qazewan	قازه‌وان‌
qazeĺax	قازه‌ڵاخ‌
qazme	قازمه‌
qazêyane	قازێیانه‌
qazêyaxe	قازێیاخه‌
qazî	قازی‌
qazîqwiĺinĝ	قازی ‌قوڵنگ‌
qazîwen	قازیوه‌ن‌
qazĺaxî	قازڵاخی
qaç	قاچ‌
qaçan	قاچان‌
qaçax	قاچاخ‌
qaçax çî	قاچاخچی
qaçaxî çir̂	قاچاخی چڕ
qaçe	قاچه‌
qaçi qwilaw baz	قاچْ قولاو باز
qaçi zîn	قاچْ ‌زین‌
qaç qaç	قاچ ‌قاچ‌
qaçya	قاچیا
qaçyag	قاچیاگ‌
qaçyaê	قاچیاێ
qaçê	قاچێ
qaçî	قاچی
qaçîn	قاچین‌
qaêr	قاێر
qaêrme	قاێرمه‌
qaêye	قاێيه‌
qaüt	قاؤت‌
qaüyt	قاؤیت‌
qaüyt dû	قاؤیت ‌دوو
qaüş	قاؤش‌
qaüşt	قاؤشت‌
qaĺ	قاڵ
qaĺan gwirexte	قاڵان‌گوره‌خته‌
qaĺan werexte	قاڵان‌وه‌ره‌خته‌
qaĺaw	قاڵاو
qaĺaw der̂e	قاڵاوده‌ڕه‌
qaĺdir̂ek	قاڵدڕه‌ك‌
qaĺdir̂me	قاڵدڕمه‌
qaĺe qaĺ	قاڵه‌‌قاڵ
qaĺi biqü	قاڵبـْقؤ
qaĺi bixwir̂	قاڵ بـْخوڕ
qaĺi biĺa	قاڵ بڵا
qaĺi qü	قاڵ قؤ
qaĺme qaĺ	قاڵمه‌قاڵ
qaĺtax	قاڵتاخ‌
qaşox	قاشۆ‌خ‌
qe	قه‌
qebûz	قه‌بووز
qecer	قه‌جه‌ر
qecerî	قه‌جه‌ری
qecerî bir̂în	قه‌جه‌ری بڕین‌
qed	قه‌د
qed barîk	قه‌د باریك‌
qedem û kerem	قه‌ده‌م‌ و كه‌ره‌م‌
qedexe	قه‌ده‌خه‌
qedex́e	قه‌ده‌غه‌
qedr	قه‌در
qedr girtin	قه‌در گرتن‌
qedr nas	قه‌در ناس‌
qedr zanistin	قه‌در زانستن‌
qedr zanî	قه‌درزانی
qedîm	قه‌دیم‌
qedîme	قه‌دیمه‌
qedîmî	قه‌دیمی‌
qed û baĺa	قه‌د وباڵا
qefes	قه‌فه‌س‌
qefese	قه‌فه‌سه‌
qefesî	قه‌فه‌سی
qefez	قه‌فه‌ز
qefeze	قه‌فه‌زه‌
qejmerî	قه‌ژمه‌ری
qejyeĺê	قه‌ژیه‌ڵێ
qel	قه‌ل‌
qela bün	قه‌ڵابؤن‌
qelace	قه‌لاجه‌
qelance	قه‌لانجه‌
qelanî kûlik	قەلانی‌ كوولـْك
qelanî naraw	قەلانی‌ ناراو‌
qelanî qeyxa ewla	قەلانی‌ قەیخا ئەولا
qelar	قه‌لار
qelax́e	قه‌لاغه‌
qelaş	قه‌لاش‌
qele	قه‌له‌
qeleş	قه‌له‌ش‌
qeli pel kirdin	قه‌لْپه‌ل كردن‌
qelî ĉan	قه‌لی‌چان‌
qem	قه‌م‌
qemanin	قه‌مانن‌
qeme	قه‌مه‌
qemeke	قەمەكه‌
qeme kîş	قه‌مه‌كیش‌
qemer	قه‌مه‌ر
qemew dan	قه‌مه‌ودان‌
qemew xwardin	قه‌مه‌و خواردن‌
qeme zen	قه‌مه‌زه‌ن‌
qemralî	قه‌مرالی
qemter	قه‌مته‌ر
qemter cayn	قه‌مته‌ر جاین‌
qemter kirdin	قه‌مته‌ر كردن‌
qemter qurûjan	قه‌مته‌ر قورووژان‌
qemterî	قه‌مته‌ری
qem xwardin	قه‌م خواردن‌
qemx́az	قه‌مغاز
qemze	قه‌مزه‌
qemze kirdin	قه‌مزه‌كردن‌
qemç	قه‌مچ‌
qemçan	قه‌مچان‌
qemçî	قه‌مچی
qemçî r̂an	قه‌مچی ڕان‌
qemûĺke	قه‌مووڵكه‌
qen	قه‌ن‌
qenare	قه‌ناره‌
qenarî	قه‌ناری
qenas	قه‌ناس‌
qenase	قه‌ناسه‌
qenasî	قه‌ناسی
qenasî der kirdin	قه‌ناسی ده‌ر كردن‌
qenaw	قه‌ناو
qenc	قه‌نج‌
qenc dan	قه‌نج ‌دان‌
qenc kirdin	قه‌نج‌ كردن‌
qendan	قه‌ندان‌
qendax	قه‌نداخ‌
qendeharî	قه‌نده‌هاری
qendîl	قه‌ندیل‌
qentar	قه‌نتار
qentar qîn şele	قه‌نتارقین ‌شه‌له‌
qenşekere	قه‌نشه‌كه‌ره‌
qenşekerûk	قه‌نشه‌كه‌رووك‌
qenşikin	قه‌نشكن‌
qenşikineyl	قه‌نشكنه‌یل‌
qep	قه‌پ‌
qepan	قه‌پان‌
qepandar	قه‌پاندار
qepane pê	قه‌پانه ‌پێ
qepanin	قه‌پانن‌
qepan kirdin	قه‌پان كردن‌
qepançî	قه‌پانچی
qepax	قه‌پاخ‌
qepaĺ	قه‌پاڵ
qepaĺçin	قه‌پاڵ چن‌
qep gir	قه‌پگر
qep girtin	قه‌پگرتن‌
qepi qaĺ	قه‌پْ قاڵ
qepi r̂îş	قه‌پْ ریش‌
qep keftin	قه‌پ ‌كه‌فتن‌
qep lê ben bün	قه‌پ‌ لێ به‌ن ‌بؤن‌
qep û qaĺ	قه‌پ ‌وقاڵ
qepûz	قه‌پووز
qepĺan	قه‌پڵان‌
qeqew	قه‌قه‌و
qeqew qeqew	قه‌قه‌و قه‌قه‌و
qer	قه‌ر
qerang	قه‌رانگ‌
qerangwirexte	قه‌ران ‌گوره‌خته‌
qerar	قه‌رار
qerar	قه‌رار
qerar dan	قه‌رار دان‌
qerar nan	قه‌رار نان‌
qerar nayn	قه‌رار ناین‌
qeraw	قه‌راو
qerawiĺ	قه‌راوڵ
qerawiĺxane	قه‌راوڵخانه‌
qerawêz	قه‌راوێز
qeraçûpî	قه‌راچووپی
qerd	قه‌رد
qerdar	قه‌ردار
qerdarî	قه‌رداری
qerd girtin	قه‌رد گرتن‌
qerdi qûĺe	قه‌ردْ قوُڵه‌‌
qerdi qüle	قه‌ردْ قؤله‌
qerdi qüne	قه‌ردْ قؤنه‌
qerd kirdin	قه‌رد كردن‌
qere	قه‌ره‌
qerebiĺax	قه‌ره‌بڵاخ‌
qerebiĺênî	قه‌ره‌بڵێنی
qerebû	قه‌ره‌بوو
qerebû dan	قه‌ره‌بوو دان‌
qere dane	قه‌ره‌‌دانه‌
qereftaw	قه‌ره‌فتاو
qerehêĺ	قه‌ره‌هێڵ
qerehûn	قه‌ره‌هوون‌
qerelî qomqom	قه‌ره‌لیقۆ‌مقۆ‌م‌
qere mûr	قه‌ره‌موور
qerenyas	قەرەنیاس
qereqaj	قه‌ره‌قاژ
qereqaç	قه‌ره‌قاچ‌
qereqere	قه‌ره‌قه‌ره‌
qereqwiş	قه‌ره‌قوش‌
qeresen	قه‌ره‌‌سه‌ن‌
qeresû	قه‌ره‌سوو
qeresûran	قه‌ره‌سووران‌
qeretepe	قه‌ره‌ته‌په‌
qerewa	قه‌ره‌وا
qerewaş	قه‌ره‌واش‌
qere welî	قەرە وەلی
qerewiĺ	قه‌ره‌وْڵ
qere wiĺax	قه‌ره‌وڵاخ
qerewiĺe	قه‌ره‌وڵه‌‌
qerewêĺ	قه‌ره‌وێڵ
qerewêĺe	قه‌ره‌وێڵه‌‌
qerewî	قه‌ره‌وی
qerez	قه‌ره‌ز
qerezax	قه‌ره‌زاخ‌
qerezenĝ	قه‌ره‌زه‌نگ‌
qerezi merez	قه‌ره‌زْ مه‌ره‌ز
qere ziĺ	قه‌ره‌زڵ
qerezülî	قه‌ره‌زؤلی
qere çinax	قه‌ره‌چناخ‌
qereçî	قه‌ره‌چی
qereçûpî	قه‌ره‌چووپی
qereçûĺ	قه‌ره‌چووڵ
qereĺdax	قه‌ره‌ڵداخ‌
qerqawiĺ	قه‌رقاوْڵ
qerqeş	قه‌رقه‌ش‌
qerqeşe	قه‌رقه‌شه‌
qerqüt	قه‌رقؤت‌
qers	قه‌رس‌
qerseqwil	قه‌رسه‌قوْل‌
qersîl	قه‌رسیل‌
qersîl her̂işanin	قه‌رسیل ‌هه‌ڕشانن‌
qert	قه‌رت‌
qertaĺe	قه‌رتاڵه‌‌
qert ban hawrdin	قه‌رت بان ‌هاوردن‌
qertbar	قه‌رتبار
qert dan	قه‌رتدان‌
qertdar	قه‌رتدار
qert dayn	قه‌رت داین‌
qert girtin	قه‌رت گرتن‌
qerti qûĺe	قه‌رتْ قوُڵه‌‌
